year,pr
1961,1484.92427184
1962,1746.52281553
1963,1223.83300971
1964,1483.93106796
1965,1614.53883495
1966,1631.55970874
1967,1480.51601942
1968,1652.80388350
1969,1408.53009709
1970,1499.54514563
1971,1707.79611650
1972,1462.92961165
1973,1210.49466019
1974,1190.06456311
1975,1381.37572816
1976,1646.20825243
1977,1352.49029126
1978,1291.99611650
1979,1799.01456311
1980,1356.25000000
1981,1368.15825243
1982,1087.77961165
1983,1218.33834951
1984,1412.12864078
1985,1615.90533981
1986,1336.19563107
1987,1229.66407767
1988,1503.20485437
1989,1498.45533981
1990,1337.86116505
1991,1306.50970874
1992,1405.85194175
1993,1066.51359223
1994,1162.71213592
1995,1637.05582524
1996,1690.70097087
1997,1355.36844660
1998,1417.91456311
1999,1217.83980583
2000,1232.93106796
2001,1521.55048544
2002,1248.63932039
2003,1450.80388350
2004,1328.78592233
2005,1142.74563107
2006,1301.90533981
2007,1222.22330097
2008,1467.58689320
2009,1250.83883495
2010,1262.65339806
2011,1591.21359223
2012,1277.36747573
2013,1220.17815534
2014,1294.46796117
2015,1097.22524272
2016,1384.61407767
2017,1565.10388350
2018,1641.78203883
2019,1004.48834951
2020,956.68980583
2021,1230.28786408
2022,1547.81359223
2023,1968.58834951
2024,1056.03980583
