year,pr
1961,1004.69247929
1962,985.97476099
1963,971.84576163
1964,950.26137667
1965,1106.67922243
1966,816.98961122
1967,1161.50050988
1968,1172.89216061
1969,1033.38164436
1970,1045.62702358
1971,932.22874442
1972,1145.13562779
1973,874.01459528
1974,826.39687699
1975,1054.94244742
1976,829.31351179
1977,856.24404079
1978,1046.42549395
1979,1116.15117909
1980,1269.04059911
1981,988.68056087
1982,1160.53581899
1983,1291.45022307
1984,1164.81434034
1985,847.86048438
1986,1023.00127470
1987,1156.76481836
1988,1143.55487572
1989,903.62925430
1990,1011.00854047
1991,1061.88655194
1992,954.22523901
1993,1013.86832377
1994,1241.73428936
1995,1267.29018483
1996,1003.96507330
1997,1022.25799873
1998,1066.04926705
1999,1001.71344806
2000,1189.55678776
2001,843.72517527
2002,1056.65678776
2003,871.38158062
2004,1154.33785851
2005,903.71657106
2006,1091.57635437
2007,931.20975143
2008,990.56016571
2009,1013.93244105
2010,1121.53167623
2011,1004.31988528
2012,994.90114723
2013,1048.56239643
2014,1002.07686424
2015,965.76182282
2016,1087.75908222
2017,871.60650096
2018,1067.69432760
2019,1174.41701721
2020,972.80630975
2021,1082.74652645
2022,947.59216061
2023,987.14212874
2024,1104.62217973
