year,pr
1961,1654.12821918
1962,1688.59863014
1963,1521.29890411
1964,1473.83561644
1965,1756.06000000
1966,1855.35506849
1967,1503.60246575
1968,1768.42958904
1969,1226.34794521
1970,1552.22054795
1971,1616.41945205
1972,1361.51041096
1973,1328.44191781
1974,2040.73369863
1975,1704.23753425
1976,1885.21342466
1977,2007.53753425
1978,1492.26931507
1979,2025.58136986
1980,1898.88273973
1981,1639.07506849
1982,1411.33342466
1983,1584.26657534
1984,1280.82273973
1985,1689.84931507
1986,1631.31205479
1987,1504.48082192
1988,1527.67315068
1989,1542.59232877
1990,1586.92191781
1991,1728.24027397
1992,1873.02136986
1993,1321.77863014
1994,1477.37041096
1995,1852.75561644
1996,1866.36273973
1997,1493.09917808
1998,1458.68767123
1999,1575.05616438
2000,1465.03260274
2001,1432.33260274
2002,1487.82712329
2003,1470.92328767
2004,2237.77260274
2005,1348.92136986
2006,2076.84986301
2007,1226.02904110
2008,1751.25616438
2009,1538.98931507
2010,1671.52465753
2011,1608.87863014
2012,1546.64000000
2013,1667.61972603
2014,1545.36246575
2015,1403.17178082
2016,1627.70876712
2017,1625.62821918
2018,1871.56520548
2019,1347.79698630
2020,1507.68000000
2021,1579.33287671
2022,1988.60328767
2023,1707.86767123
2024,1372.24904110
