year,pr
1961,4162.19823009
1962,4533.66734513
1963,4393.64097345
1964,5060.62610619
1965,4703.34548673
1966,3815.41831858
1967,5444.15230088
1968,5274.51823009
1969,4157.45805310
1970,5060.29362832
1971,4082.69876106
1972,4947.63955752
1973,4110.91823009
1974,4057.78858407
1975,5411.68982301
1976,4017.98415929
1977,3827.51380531
1978,4321.99699115
1979,5230.62398230
1980,5248.78646018
1981,4941.99716814
1982,4956.67646018
1983,5710.93575221
1984,5101.29849558
1985,4147.42539823
1986,4324.51292035
1987,5158.27433628
1988,6268.59902655
1989,4350.53752212
1990,5074.57566372
1991,4712.72300885
1992,4062.35061947
1993,4535.34230088
1994,5713.63362832
1995,5949.39805310
1996,5070.62247788
1997,4382.22477876
1998,5748.36247788
1999,4495.55469027
2000,5238.92008850
2001,4103.35159292
2002,4979.87106195
2003,4360.15477876
2004,5412.24646018
2005,4095.60017699
2006,5123.46132743
2007,4530.19265487
2008,4886.84858407
2009,4936.05336283
2010,5013.03292035
2011,4470.15415929
2012,4155.74761062
2013,4384.21920354
2014,4968.55893805
2015,4660.90292035
2016,5409.10964602
2017,3712.85699115
2018,4141.60761062
2019,5496.35716814
2020,4652.44256637
2021,5557.36566372
2022,4788.28486726
2023,4638.37221239
2024,4877.90123894
