year,pr
1961,94.72855801
1962,92.36481916
1963,101.43485204
1964,67.19145139
1965,108.81141381
1966,115.94307186
1967,178.76129638
1968,166.86467825
1969,120.04518553
1970,58.10563645
1971,51.38628464
1972,129.07919211
1973,124.80385157
1974,224.99920150
1975,166.69976515
1976,68.28764678
1977,96.46834194
1978,192.67698450
1979,83.69581963
1980,126.86655707
1981,120.03954908
1982,80.55030531
1983,154.31540629
1984,66.43278535
1985,69.43048380
1986,95.28492250
1987,95.36232973
1988,41.50145608
1989,71.40225458
1990,115.17679662
1991,137.62545796
1992,36.93795209
1993,80.29173321
1994,64.11573509
1995,120.90803194
1996,200.49196806
1997,130.38529826
1998,86.68417097
1999,99.07980272
2000,150.06275247
2001,33.26975106
2002,84.94523250
2003,67.15429779
2004,42.27599812
2005,46.58821043
2006,163.91103805
2007,60.85800845
2008,82.95998121
2009,182.35894786
2010,120.61399718
2011,96.33118835
2012,67.36453734
2013,96.37928605
2014,207.53367778
2015,149.05951151
2016,57.72545796
2017,157.50004697
2018,161.19596054
2019,116.63828088
2020,85.44485674
2021,76.06618131
2022,68.29807421
2023,112.89666510
2024,107.87745420
