year,pr
1961,96.56940727
1962,61.91956660
1963,51.71421287
1964,59.92090504
1965,76.77029955
1966,81.18616953
1967,164.49369025
1968,123.59330784
1969,91.28744423
1970,58.81727215
1971,41.10726577
1972,96.71453155
1973,134.19369025
1974,78.17055449
1975,115.84321224
1976,52.99050351
1977,102.05296367
1978,75.81746335
1979,92.09528362
1980,81.53409815
1981,93.73511791
1982,50.42874442
1983,107.38846399
1984,69.43065647
1985,61.29324410
1986,92.71688974
1987,65.06583811
1988,46.86150414
1989,57.97692798
1990,101.30019120
1991,112.84710006
1992,64.88986616
1993,56.24550669
1994,70.33129382
1995,47.27998725
1996,145.86335245
1997,137.13008286
1998,79.18457616
1999,95.74799235
2000,75.61223709
2001,37.39630338
2002,76.75079669
2003,32.12619503
2004,49.23428936
2005,51.39394519
2006,132.42912683
2007,47.11912046
2008,64.29496495
2009,104.93766730
2010,158.26908859
2011,53.73275972
2012,36.23658381
2013,64.15844487
2014,99.59311663
2015,101.49515615
2016,58.47756533
2017,76.97590822
2018,130.39668579
2019,96.17036329
2020,76.83588273
2021,65.93722116
2022,76.72829828
2023,67.91134481
2024,107.22237094
