year,pr
1961,107.49401709
1962,262.56965812
1963,30.46495726
1964,138.29487179
1965,140.28034188
1966,277.51880342
1967,244.51858974
1968,249.34358974
1969,240.51260684
1970,122.36666667
1971,150.20320513
1972,241.48119658
1973,182.84551282
1974,539.10811966
1975,254.02200855
1976,147.60683761
1977,143.23632479
1978,159.89529915
1979,172.15961538
1980,154.00576923
1981,210.63611111
1982,123.86153846
1983,354.19444444
1984,101.11495726
1985,234.46388889
1986,162.60042735
1987,203.29102564
1988,59.11089744
1989,110.65726496
1990,296.38910256
1991,200.41773504
1992,36.77222222
1993,91.60683761
1994,78.37649573
1995,297.20576923
1996,278.47948718
1997,140.78034188
1998,135.97841880
1999,213.37542735
2000,308.22841880
2001,75.90897436
2002,112.68547009
2003,59.23269231
2004,136.54764957
2005,27.68525641
2006,377.59594017
2007,109.55961538
2008,207.77286325
2009,211.85918803
2010,133.17606838
2011,217.75683761
2012,103.84380342
2013,241.45619658
2014,334.37884615
2015,256.96260684
2016,95.86282051
2017,257.19722222
2018,198.57542735
2019,133.94316239
2020,133.48888889
2021,150.17435897
2022,110.19615385
2023,261.58076923
2024,172.51538462
