year,pr
1961,119.15256410
1962,221.47713675
1963,332.75726496
1964,273.44358974
1965,208.44038462
1966,70.69273504
1967,421.74337607
1968,208.91688034
1969,100.17136752
1970,381.33547009
1971,262.94337607
1972,200.29230769
1973,283.13333333
1974,159.57799145
1975,413.11538462
1976,194.97435897
1977,181.01474359
1978,204.47435897
1979,207.81559829
1980,253.69508547
1981,70.36452991
1982,132.64358974
1983,163.88760684
1984,180.84957265
1985,198.60106838
1986,178.83867521
1987,199.15726496
1988,236.90683761
1989,225.29658120
1990,439.42670940
1991,349.37991453
1992,359.93012821
1993,97.60790598
1994,246.81132479
1995,212.38653846
1996,239.40534188
1997,206.16282051
1998,224.35683761
1999,208.68226496
2000,200.26260684
2001,245.44807692
2002,145.46431624
2003,148.88311966
2004,235.02713675
2005,140.29102564
2006,138.20491453
2007,177.00683761
2008,269.42029915
2009,260.30833333
2010,272.61517094
2011,45.04358974
2012,174.00918803
2013,188.96153846
2014,131.06025641
2015,240.66367521
2016,89.89615385
2017,213.68846154
2018,164.98803419
2019,164.07264957
2020,161.16452991
2021,240.74636752
2022,413.16517094
2023,105.96260684
2024,314.98717949
