year,pr
1961,254.34520548
1962,145.00520548
1963,201.33452055
1964,121.47917808
1965,259.49863014
1966,166.46383562
1967,263.47205479
1968,106.73205479
1969,114.55890411
1970,179.10575342
1971,221.76821918
1972,135.90931507
1973,176.87424658
1974,184.57698630
1975,239.50438356
1976,193.65123288
1977,247.92821918
1978,113.86465753
1979,222.35753425
1980,187.86876712
1981,197.60191781
1982,71.84794521
1983,104.74465753
1984,116.83150685
1985,166.70849315
1986,265.21835616
1987,76.77342466
1988,119.59095890
1989,153.07178082
1990,269.99863014
1991,165.14931507
1992,205.69589041
1993,71.22328767
1994,106.26219178
1995,172.48383562
1996,150.26356164
1997,202.42410959
1998,109.66575342
1999,112.01835616
2000,129.66794521
2001,173.36767123
2002,148.36082192
2003,134.80136986
2004,296.85205479
2005,46.02273973
2006,231.40054795
2007,112.94712329
2008,250.32438356
2009,148.18904110
2010,194.14493151
2011,137.69041096
2012,145.30438356
2013,122.98849315
2014,178.51178082
2015,159.81561644
2016,147.21452055
2017,182.94821918
2018,146.47945205
2019,143.22438356
2020,77.49616438
2021,199.26301370
2022,235.39315068
2023,141.87671233
2024,225.68109589
