year,pr
1961,209.37946903
1962,390.33734513
1963,466.90814159
1964,568.35946903
1965,250.64044248
1966,163.58584071
1967,650.97929204
1968,475.58876106
1969,285.02814159
1970,697.92079646
1971,438.49221239
1972,283.52194690
1973,424.90371681
1974,139.48292035
1975,587.97008850
1976,225.29256637
1977,171.61141593
1978,500.50778761
1979,271.56132743
1980,590.02592920
1981,86.31415929
1982,391.00601770
1983,288.28070796
1984,386.90530973
1985,355.15557522
1986,195.96256637
1987,357.57265487
1988,473.84168142
1989,301.20460177
1990,460.84000000
1991,768.64292035
1992,613.94407080
1993,202.25805310
1994,536.50123894
1995,458.30353982
1996,362.36389381
1997,531.12522124
1998,357.64460177
1999,298.45707965
2000,283.04743363
2001,395.05212389
2002,368.43840708
2003,298.27061947
2004,497.37690265
2005,350.98026549
2006,299.92247788
2007,322.06238938
2008,311.82778761
2009,784.97017699
2010,435.82991150
2011,144.78088496
2012,202.76530973
2013,304.18707965
2014,285.45796460
2015,420.27973451
2016,153.85796460
2017,377.95150442
2018,241.02115044
2019,334.36495575
2020,322.45238938
2021,410.38982301
2022,683.62752212
2023,180.11504425
2024,577.26849558
