year,pr
1961,190.35145631
1962,154.77281553
1963,274.49951456
1964,181.34611650
1965,448.54320388
1966,501.32475728
1967,458.91067961
1968,213.56310680
1969,425.15776699
1970,229.96796117
1971,245.01359223
1972,190.36310680
1973,119.02475728
1974,112.22135922
1975,230.60242718
1976,337.17912621
1977,200.35291262
1978,182.26359223
1979,293.79514563
1980,385.43543689
1981,235.11990291
1982,242.08495146
1983,152.48543689
1984,355.00582524
1985,492.15000000
1986,497.50339806
1987,161.77961165
1988,246.93009709
1989,434.38203883
1990,135.16262136
1991,160.00776699
1992,211.89417476
1993,181.06699029
1994,160.28252427
1995,180.83106796
1996,257.76213592
1997,308.14174757
1998,196.55679612
1999,224.53737864
2000,145.93398058
2001,288.11359223
2002,332.86796117
2003,309.20970874
2004,429.03834951
2005,254.66262136
2006,209.64466019
2007,140.82621359
2008,227.77038835
2009,310.16116505
2010,178.04951456
2011,417.61262136
2012,372.93349515
2013,125.48058252
2014,190.35145631
2015,174.33737864
2016,294.33689320
2017,165.65145631
2018,379.44271845
2019,248.97864078
2020,82.73932039
2021,153.52572816
2022,175.84902913
2023,834.88834951
2024,213.42815534
2025,70.50582524
