year,pr
1961,238.85640066
1962,336.22050300
1963,391.56429380
1964,368.91862327
1965,450.63673310
1966,486.36613001
1967,467.50195805
1968,391.69660604
1969,351.76987207
1970,415.42549822
1971,350.00099208
1972,278.70175790
1973,247.06767035
1974,291.19024454
1975,377.53538421
1976,392.98779915
1977,443.78940910
1978,277.20290662
1979,445.03084153
1980,577.66717431
1981,313.46467670
1982,495.61917153
1983,424.83735967
1984,462.41968497
1985,520.05664433
1986,515.75133583
1987,408.68358716
1988,463.28890436
1989,420.28261248
1990,385.68487512
1991,543.43070229
1992,398.87739100
1993,413.78184666
1994,467.19317727
1995,319.12696893
1996,500.01394135
1997,361.28858237
1998,453.01623880
1999,313.21737882
2000,349.13254721
2001,359.94664520
2002,510.75879384
2003,375.99827691
2004,590.87322252
2005,408.98746845
2006,434.47343138
2007,306.54677574
2008,375.46406753
2009,445.17252632
2010,441.41721347
2011,583.58335219
2012,421.83125054
2013,356.54030981
2014,367.91358454
2015,282.51215734
2016,420.69194152
2017,440.66903664
2018,457.05116178
2019,366.24943869
2020,438.62800453
2021,327.18135062
2022,499.10685754
2023,426.01156557
2024,395.85283265
2025,153.46089113
