year,pr
1961,272.12649573
1962,427.93504274
1963,447.02564103
1964,586.66923077
1965,486.38226496
1966,489.86794872
1967,459.24423077
1968,396.00512821
1969,506.90470085
1970,448.19081197
1971,413.62927350
1972,264.75384615
1973,213.16709402
1974,345.67606838
1975,346.57393162
1976,559.97606838
1977,608.73525641
1978,344.50192308
1979,478.07179487
1980,731.31581197
1981,168.41324786
1982,549.83760684
1983,426.84658120
1984,451.85448718
1985,703.38205128
1986,814.31431624
1987,436.30790598
1988,660.98162393
1989,472.18547009
1990,427.91217949
1991,506.06623932
1992,543.27329060
1993,523.52393162
1994,552.25790598
1995,505.30598291
1996,643.89914530
1997,354.31645299
1998,479.83012821
1999,325.52200855
2000,567.37927350
2001,323.88760684
2002,648.62200855
2003,386.09615385
2004,700.03183761
2005,467.85320513
2006,451.90619658
2007,323.80641026
2008,438.39871795
2009,468.38589744
2010,489.70940171
2011,578.52585470
2012,694.93461538
2013,481.41730769
2014,415.78547009
2015,319.53675214
2016,537.51474359
2017,506.91239316
2018,639.76923077
2019,242.82841880
2020,561.53525641
2021,359.92649573
2022,855.18888889
2023,350.86367521
2024,463.90683761
2025,154.55854701
