year,pr
1961,479.52176991
1962,871.86840708
1963,979.19955752
1964,1147.24876106
1965,1081.71929204
1966,1360.22778761
1967,1216.18495575
1968,1151.87938053
1969,594.07964602
1970,1142.46185841
1971,773.75061947
1972,652.70716814
1973,691.01787611
1974,811.43292035
1975,872.82469027
1976,948.20265487
1977,1233.91867257
1978,789.12681416
1979,1234.34221239
1980,1643.21743363
1981,779.76619469
1982,1598.16026549
1983,1338.78044248
1984,1106.69026549
1985,1502.75530973
1986,1244.44221239
1987,1333.09876106
1988,1281.77911504
1989,1023.37123894
1990,1226.86938053
1991,1829.81592920
1992,1047.77876106
1993,1160.75274336
1994,1402.72902655
1995,855.40415929
1996,1480.66141593
1997,804.08265487
1998,1541.11955752
1999,859.15707965
2000,985.62566372
2001,940.13398230
2002,1317.45601770
2003,998.01212389
2004,1608.96831858
2005,1063.49557522
2006,1169.17371681
2007,829.34610619
2008,1205.57796460
2009,1195.36690265
2010,1449.28831858
2011,1896.75026549
2012,1016.10867257
2013,1079.78265487
2014,1136.92539823
2015,883.70168142
2016,1293.69168142
2017,1503.24796460
2018,1084.61681416
2019,995.09079646
2020,1636.70610619
2021,985.42300885
2022,1614.04858407
2023,755.30026549
2024,1333.03026549
2025,484.73247788
