year,pr
1961,81.46474632
1962,124.52760421
1963,109.15865460
1964,144.69779828
1965,170.94316422
1966,166.60090506
1967,169.43534070
1968,119.27223044
1969,201.94286833
1970,127.02166043
1971,112.25386824
1972,119.12748238
1973,92.04424332
1974,117.10694457
1975,124.70558698
1976,197.26835785
1977,142.30421199
1978,145.90161866
1979,228.31777913
1980,128.94451310
1981,172.93653294
1982,170.77555478
1983,189.71726569
1984,223.65287616
1985,181.42869202
1986,115.90753633
1987,166.76489427
1988,156.71582108
1989,187.40495170
1990,170.26138717
1991,125.71405448
1992,156.31142633
1993,156.60235837
1994,74.68666783
1995,244.92330520
1996,148.39658863
1997,182.10186233
1998,124.66555565
1999,93.21448090
2000,182.25502567
2001,254.25175355
2002,169.49423897
2003,143.34628840
2004,197.41650857
2005,158.03304325
2006,137.55911583
2007,163.23108520
2008,177.13132016
2009,171.40442085
2010,244.33059786
2011,162.53375685
2012,147.35360717
2013,146.12466278
2014,135.18055870
2015,88.97384910
2016,132.23357410
2017,81.73620225
2018,148.83651553
2019,236.97520668
2020,120.53955269
2021,229.02605517
2022,105.91162649
2023,149.57682534
2024,153.46089113
