year,pr
1961,220.39353982
1962,188.76876106
1963,230.79858407
1964,377.67336283
1965,556.64893805
1966,390.54203540
1967,427.45336283
1968,148.48176991
1969,515.72238938
1970,374.05265487
1971,290.75035398
1972,342.07805310
1973,250.22353982
1974,250.40008850
1975,312.43734513
1976,564.08734513
1977,376.83362832
1978,359.65504425
1979,670.17831858
1980,219.60318584
1981,568.08415929
1982,497.52884956
1983,511.84858407
1984,667.20557522
1985,516.75159292
1986,425.11707965
1987,452.82911504
1988,486.00495575
1989,627.90460177
1990,700.37707965
1991,325.72893805
1992,382.53752212
1993,369.12035398
1994,224.43592920
1995,872.98548673
1996,291.19053097
1997,616.46707965
1998,386.09362832
1999,203.21796460
2000,605.95761062
2001,717.99477876
2002,491.70867257
2003,401.45185841
2004,454.41000000
2005,409.97442478
2006,357.17867257
2007,542.29619469
2008,547.19725664
2009,620.80557522
2010,914.23557522
2011,348.32247788
2012,410.59141593
2013,399.28893805
2014,449.23371681
2015,330.40938053
2016,529.52761062
2017,206.24752212
2018,307.78840708
2019,841.78389381
2020,370.68929204
2021,852.07486726
2022,196.39681416
2023,506.67469027
2024,484.73247788
