year,pr
1961,370.55824331
1962,313.44419915
1963,413.80770315
1964,263.79830907
1965,256.87651480
1966,236.17609206
1967,280.68313762
1968,312.81714420
1969,178.43870362
1970,402.85509629
1971,282.30573039
1972,237.08130578
1973,263.47397839
1974,298.09295444
1975,406.46247064
1976,296.30108032
1977,279.73832785
1978,422.69145139
1979,272.03973697
1980,357.76608736
1981,337.60037576
1982,266.61362142
1983,322.47214655
1984,321.59276656
1985,320.49178018
1986,436.51296383
1987,241.82714890
1988,388.21066228
1989,270.10681071
1990,337.81066228
1991,368.80032879
1992,420.68515735
1993,247.33705965
1994,410.30178488
1995,391.86458431
1996,278.87684359
1997,270.99163927
1998,376.37289807
1999,305.37858149
2000,389.73781118
2001,280.74025364
2002,330.16256458
2003,276.21789573
2004,357.91822452
2005,227.99431658
2006,307.12118365
2007,254.11878816
2008,466.75457961
2009,318.68576797
2010,349.65664631
2011,202.19140442
2012,343.14908408
2013,352.34401127
2014,282.96016909
2015,330.35223109
2016,270.60206670
2017,308.99567872
2018,219.41625176
2019,259.14274307
2020,219.55899483
2021,380.46214185
2022,539.17984969
2023,214.86077971
2024,320.87332081
