year,pr
1961,622.54931507
1962,497.98164384
1963,643.80821918
1964,540.38602740
1965,654.38054795
1966,534.26657534
1967,413.24082192
1968,573.53808219
1969,342.31589041
1970,539.28657534
1971,486.08986301
1972,417.67561644
1973,435.88904110
1974,709.51397260
1975,639.56219178
1976,676.53589041
1977,718.46602740
1978,577.88602740
1979,486.76410959
1980,563.58849315
1981,678.82493151
1982,419.00684932
1983,412.67232877
1984,426.61671233
1985,658.76164384
1986,614.41424658
1987,294.38465753
1988,450.76328767
1989,510.01780822
1990,596.64465753
1991,480.98109589
1992,568.01808219
1993,278.67753425
1994,501.74520548
1995,589.66000000
1996,614.23671233
1997,487.97068493
1998,488.43068493
1999,449.85863014
2000,368.96054795
2001,443.63095890
2002,549.71342466
2003,453.00191781
2004,664.52438356
2005,301.08821918
2006,807.44000000
2007,441.66273973
2008,768.43232877
2009,407.28630137
2010,582.28246575
2011,409.10383562
2012,518.01479452
2013,536.31232877
2014,440.39945205
2015,503.04191781
2016,424.99753425
2017,479.39342466
2018,508.32904110
2019,447.15479452
2020,408.62630137
2021,582.70575342
2022,745.65013699
2023,411.59589041
2024,491.70109589
