year,pr
1961,1116.55522124
1962,1252.39141593
1963,1032.61982301
1964,1159.57637168
1965,940.55495575
1966,737.24973451
1967,1127.22955752
1968,1072.13141593
1969,784.79070796
1970,1532.68805310
1971,1037.95973451
1972,912.01628319
1973,776.96345133
1974,1022.24557522
1975,1373.82415929
1976,1031.40539823
1977,775.76486726
1978,1059.25584071
1979,917.83053097
1980,1265.02460177
1981,1045.50539823
1982,950.55159292
1983,1090.60938053
1984,1301.27070796
1985,1132.21185841
1986,1145.65283186
1987,978.78053097
1988,1591.20831858
1989,1115.71495575
1990,1278.01619469
1991,1304.35415929
1992,1399.46840708
1993,1243.26097345
1994,1477.78309735
1995,1193.92000000
1996,869.27610619
1997,1000.36884956
1998,1458.48044248
1999,852.42778761
2000,1146.45929204
2001,999.50893805
2002,1325.26079646
2003,1234.53530973
2004,1414.01646018
2005,1136.09017699
2006,1050.14362832
2007,1010.48035398
2008,1225.69946903
2009,1370.89035398
2010,932.47575221
2011,786.47176991
2012,902.78026549
2013,991.45575221
2014,1119.16840708
2015,1382.03256637
2016,1165.97469027
2017,882.20769912
2018,870.89982301
2019,922.07938053
2020,853.28654867
2021,1473.34575221
2022,1700.76513274
2023,560.96336283
2024,1055.96619469
