year,pr
1961,128.79563107
1962,41.92330097
1963,58.29611650
1964,70.46601942
1965,188.58786408
1966,141.98009709
1967,113.42038835
1968,37.04660194
1969,93.37669903
1970,50.73106796
1971,59.18398058
1972,64.80728155
1973,41.96844660
1974,20.41844660
1975,89.92135922
1976,246.90533981
1977,62.49708738
1978,33.92766990
1979,15.60339806
1980,121.58543689
1981,91.95970874
1982,44.13058252
1983,61.90728155
1984,108.79320388
1985,128.38300971
1986,233.95388350
1987,81.96456311
1988,14.22912621
1989,240.88834951
1990,58.04417476
1991,43.65339806
1992,99.06990291
1993,42.02087379
1994,64.46213592
1995,88.03883495
1996,50.44029126
1997,25.98592233
1998,20.03349515
1999,126.89660194
2000,76.51165049
2001,72.32378641
2002,84.15242718
2003,140.37815534
2004,77.53592233
2005,28.17572816
2006,103.14611650
2007,71.65582524
2008,33.43398058
2009,26.10776699
2010,57.64029126
2011,266.83689320
2012,72.47864078
2013,9.54271845
2014,41.28932039
2015,8.65194175
2016,125.81116505
2017,38.68203883
2018,141.71262136
2019,18.57815534
2020,6.53932039
2021,63.67961165
2022,11.32961165
2023,456.77524272
2024,51.41165049
