year,pr
1961,126.34786355
1962,167.56955008
1963,112.60879819
1964,196.40915499
1965,181.73304325
1966,155.25479941
1967,162.96340614
1968,92.00521278
1969,120.85784527
1970,124.96085632
1971,112.92997998
1972,119.31804021
1973,81.30476895
1974,53.74425202
1975,129.10862414
1976,183.29131494
1977,150.58489252
1978,73.60174049
1979,137.27985380
1980,212.96869724
1981,82.71849273
1982,170.08906100
1983,203.53426160
1984,157.39269863
1985,206.59584022
1986,178.00267166
1987,161.58172483
1988,99.88199460
1989,160.35740144
1990,132.36156122
1991,211.66773127
1992,122.59476982
1993,157.42863110
1994,221.13172918
1995,135.85233661
1996,117.10103559
1997,75.77424941
1998,106.03483596
1999,126.93629797
2000,173.19402141
2001,87.99704987
2002,151.81512488
2003,115.45608737
2004,161.07424071
2005,97.96777478
2006,182.87019406
2007,127.56763554
2008,88.02437560
2009,101.78061962
2010,197.81560352
2011,219.60621356
2012,138.50542163
2013,159.83421808
2014,162.73631538
2015,58.82369681
2016,184.74823775
2017,200.42505439
2018,154.85898529
2019,131.00575233
2020,65.13079802
2021,142.28987033
2022,30.97309199
2023,147.16982856
2024,149.02213036
