year,pr
1961,62.74461440
1962,89.69318037
1963,92.84544296
1964,111.28355641
1965,150.61453155
1966,122.94455067
1967,122.27769280
1968,70.12868069
1969,86.94461440
1970,116.06398980
1971,42.13798598
1972,97.78910134
1973,44.45372849
1974,42.01204589
1975,55.49808795
1976,56.54913958
1977,95.86226896
1978,52.41867431
1979,126.28145315
1980,160.58840025
1981,37.85417463
1982,142.78808158
1983,180.45321861
1984,141.71198215
1985,119.02549395
1986,75.73511791
1987,109.21982154
1988,123.71688974
1989,82.77654557
1990,73.09056724
1991,132.69961759
1992,62.91580625
1993,139.49069471
1994,226.04920331
1995,71.91319312
1996,80.80000000
1997,63.39847036
1998,59.55850860
1999,53.60497132
2000,153.70101976
2001,73.42957298
2002,110.03505417
2003,76.84333971
2004,106.49732314
2005,71.90758445
2006,115.20152964
2007,66.42785214
2008,69.84786488
2009,84.11988528
2010,116.74130019
2011,127.24601657
2012,105.62912683
2013,144.86424474
2014,127.49050351
2015,55.79037604
2016,101.50796686
2017,174.37571702
2018,69.39598470
2019,123.97635437
2020,52.86379860
2021,157.13499044
2022,24.26067559
2023,30.45933716
2024,107.03836839
