year,pr
1961,128.56538462
1962,308.26602564
1963,77.87948718
1964,369.60491453
1965,200.17350427
1966,151.94829060
1967,142.16581197
1968,60.73739316
1969,176.72435897
1970,113.05598291
1971,150.77542735
1972,86.02799145
1973,50.72606838
1974,66.78376068
1975,155.29017094
1976,375.97692308
1977,193.33076923
1978,31.61730769
1979,93.31047009
1980,280.31367521
1981,61.27735043
1982,133.13717949
1983,202.22799145
1984,103.17927350
1985,291.73141026
1986,289.18846154
1987,174.68418803
1988,58.80427350
1989,173.85405983
1990,175.14551282
1991,265.33846154
1992,125.77222222
1993,154.02649573
1994,253.64102564
1995,221.81944444
1996,151.64401709
1997,106.39380342
1998,112.79273504
1999,119.13547009
2000,307.54914530
2001,80.43012821
2002,181.61517094
2003,112.48119658
2004,186.76153846
2005,137.57756410
2006,207.24594017
2007,178.93311966
2008,122.51196581
2009,51.21111111
2010,181.93888889
2011,122.56004274
2012,126.91858974
2013,246.50491453
2014,207.00042735
2015,31.70576923
2016,275.87393162
2017,228.25982906
2018,275.53931624
2019,49.78461538
2020,50.32564103
2021,120.21688034
2022,32.99807692
2023,89.91987179
2024,139.02478632
