year,pr
1961,153.80814159
1962,436.62495575
1963,281.42769912
1964,765.20973451
1965,468.73814159
1966,373.52230088
1967,548.22690265
1968,237.57539823
1969,224.35230088
1970,392.20371681
1971,197.46035398
1972,288.48796460
1973,199.16646018
1974,138.19353982
1975,222.86150442
1976,496.72840708
1977,442.61761062
1978,274.07584071
1979,460.28707965
1980,577.22672566
1981,213.07150442
1982,616.95115044
1983,725.92132743
1984,367.33000000
1985,642.74008850
1986,405.95044248
1987,542.98699115
1988,295.89690265
1989,301.33221239
1990,419.59929204
1991,767.98778761
1992,319.05380531
1993,559.82787611
1994,856.57159292
1995,398.53274336
1996,260.97716814
1997,125.63176991
1998,398.31469027
1999,264.47477876
2000,475.55884956
2001,197.22415929
2002,348.30415929
2003,287.60424779
2004,526.53194690
2005,271.04292035
2006,536.99221239
2007,406.38716814
2008,292.89238938
2009,288.74752212
2010,611.87646018
2011,546.99575221
2012,378.02115044
2013,564.24044248
2014,563.40637168
2015,198.11345133
2016,549.16424779
2017,722.07460177
2018,373.38840708
2019,457.07991150
2020,253.18008850
2021,451.22530973
2022,55.80061947
2023,152.30592920
2024,520.80088496
