year,pr
1961,200.49984336
1962,184.28101123
1963,177.48173353
1964,198.79494387
1965,132.36265773
1966,132.11284484
1967,116.78654599
1968,132.34517448
1969,89.79268123
1970,179.61373249
1971,96.23226873
1972,164.90565660
1973,64.30784092
1974,244.06046471
1975,178.50069620
1976,168.73252110
1977,131.66837525
1978,211.92705596
1979,154.56177008
1980,140.30699678
1981,192.71763119
1982,128.07178662
1983,143.04751545
1984,195.02733444
1985,173.40026978
1986,176.01332347
1987,103.48315203
1988,229.56467670
1989,110.57953181
1990,154.26533809
1991,132.47730398
1992,230.33583674
1993,70.64004873
1994,214.77784353
1995,180.71958924
1996,140.91810112
1997,127.13778609
1998,283.53036289
1999,158.48069794
2000,138.92636846
2001,95.06402402
2002,124.74101471
2003,90.10908537
2004,123.41146114
2005,166.26774867
2006,156.87628579
2007,159.13553216
2008,243.70232356
2009,162.10349839
2010,100.08635454
2011,174.12959708
2012,168.23902184
2013,127.28892176
2014,117.35048299
2015,132.83460969
2016,199.66221391
2017,169.43202506
2018,170.79388217
2019,175.65211035
2020,137.59228962
2021,181.19355148
2022,249.03261683
2023,114.00912888
2024,112.50985119
