year,pr
1961,218.97397260
1962,160.08219178
1963,237.17808219
1964,222.11671233
1965,177.91315068
1966,233.84739726
1967,80.22684932
1968,214.06109589
1969,114.47890411
1970,162.17808219
1971,140.85397260
1972,169.92684932
1973,121.53698630
1974,343.73315068
1975,183.86027397
1976,251.78630137
1977,220.27232877
1978,272.16739726
1979,143.09315068
1980,195.68273973
1981,197.07397260
1982,129.87260274
1983,183.52438356
1984,256.12547945
1985,245.24273973
1986,197.34986301
1987,109.99643836
1988,187.58986301
1989,130.34109589
1990,107.27397260
1991,108.50164384
1992,267.90273973
1993,41.77945205
1994,192.13890411
1995,156.33178082
1996,279.59972603
1997,137.96712329
1998,226.43972603
1999,223.61452055
2000,81.96191781
2001,149.90493151
2002,197.46712329
2003,103.97013699
2004,168.61890411
2005,154.65479452
2006,370.10767123
2007,186.74109589
2008,338.61863014
2009,123.56136986
2010,137.99369863
2011,144.44630137
2012,208.22712329
2013,142.96438356
2014,132.04547945
2015,140.36410959
2016,123.20739726
2017,239.71917808
2018,145.70876712
2019,171.74575342
2020,127.05534247
2021,156.96575342
2022,292.00493151
2023,175.09150685
2024,162.60273973
