year,pr
1961,112.64513856
1962,89.94077031
1963,101.43884453
1964,29.71850634
1965,100.45462659
1966,79.02907468
1967,30.55955848
1968,116.48454674
1969,57.45279474
1970,98.36007515
1971,128.01996242
1972,56.81545326
1973,74.98285580
1974,94.92818225
1975,106.26002818
1976,113.24434007
1977,125.82757163
1978,84.94715829
1979,55.18980742
1980,131.74527947
1981,142.18280883
1982,86.15105683
1983,109.59788633
1984,68.08468765
1985,95.52043213
1986,135.24227337
1987,112.25260686
1988,117.70164396
1989,136.81000470
1990,74.56359793
1991,85.77430719
1992,78.80897135
1993,164.52489432
1994,114.72667919
1995,178.32202912
1996,91.07519962
1997,60.56843589
1998,115.93236261
1999,104.06265853
2000,127.40521372
2001,114.61878816
2002,193.89600752
2003,147.90258337
2004,131.70629403
2005,57.18999530
2006,141.00000000
2007,121.69379991
2008,125.23917332
2009,48.38741193
2010,116.61258807
2011,51.26153124
2012,94.15373415
2013,195.57543448
2014,149.84316581
2015,159.85265383
2016,87.96209488
2017,60.40887741
2018,71.35688116
2019,36.77980272
2020,93.75608267
2021,120.42278065
2022,144.96810709
2023,65.90610615
2024,86.21507750
