year,pr
1961,200.65665303
1962,165.10869376
1963,164.82572448
1964,99.90533461
1965,170.19849447
1966,162.45541728
1967,62.82833522
1968,199.07069881
1969,121.21637803
1970,154.92515882
1971,162.25888957
1972,107.84171090
1973,132.08907841
1974,150.21130450
1975,146.49661474
1976,177.04651466
1977,204.28160299
1978,121.44767209
1979,119.44939518
1980,182.84097990
1981,205.53574972
1982,118.12841354
1983,155.90549996
1984,121.66317118
1985,182.42914455
1986,181.58819946
1987,149.60766687
1988,164.49923418
1989,213.51591680
1990,150.69338613
1991,115.63685493
1992,109.20705770
1993,236.52758681
1994,179.70663998
1995,172.86817509
1996,147.85089200
1997,126.50912888
1998,173.88511879
1999,128.14072753
2000,182.74950831
2001,148.47817422
2002,259.06161344
2003,227.72773475
2004,231.52694282
2005,121.87156905
2006,162.41792707
2007,172.41194848
2008,174.80174049
2009,114.77434514
2010,174.91756157
2011,122.55956836
2012,140.83882169
2013,190.26702637
2014,191.51567314
2015,207.84021408
2016,155.77713863
2017,91.58725959
2018,126.25278044
2019,81.53401793
2020,153.38139413
2021,181.14651466
2022,199.04097119
2023,121.56376294
2024,132.11952833
