year,pr
1961,224.60747863
1962,184.72008547
1963,211.84914530
1964,97.84316239
1965,232.32606838
1966,225.33739316
1967,77.50470085
1968,302.64059829
1969,115.06047009
1970,249.69102564
1971,330.55042735
1972,123.73696581
1973,106.85534188
1974,82.26901709
1975,162.17179487
1976,233.50213675
1977,257.31474359
1978,149.53547009
1979,155.55747863
1980,275.38632479
1981,253.31260684
1982,252.54380342
1983,172.46431624
1984,186.90619658
1985,262.62051282
1986,269.50128205
1987,165.78397436
1988,232.68226496
1989,381.16538462
1990,152.21730769
1991,107.12649573
1992,111.76581197
1993,368.35448718
1994,299.01153846
1995,191.67735043
1996,150.52564103
1997,147.93141026
1998,238.45213675
1999,172.10641026
2000,248.35918803
2001,207.25747863
2002,373.40170940
2003,371.09252137
2004,381.24102564
2005,129.83803419
2006,177.84017094
2007,252.33910256
2008,188.35042735
2009,151.32478632
2010,250.01752137
2011,216.92286325
2012,291.56538462
2013,266.22649573
2014,289.12243590
2015,231.47927350
2016,221.31410256
2017,67.58675214
2018,67.89829060
2019,77.58525641
2020,141.14038462
2021,234.01645299
2022,309.90149573
2023,118.07393162
2024,225.30042735
