year,pr
1961,149.23013699
1962,192.89424658
1963,205.29561644
1964,196.79013699
1965,216.96876712
1966,133.95534247
1967,69.54191781
1968,252.74493151
1969,113.27808219
1970,198.00273973
1971,123.46767123
1972,111.83945205
1973,137.47780822
1974,181.20383562
1975,216.19753425
1976,231.09835616
1977,250.26547945
1978,191.85397260
1979,121.31342466
1980,180.03698630
1981,284.14904110
1982,217.28630137
1983,124.40328767
1984,53.65972603
1985,246.81041096
1986,151.84602740
1987,107.61479452
1988,143.58246575
1989,226.60493151
1990,219.37205479
1991,207.33013699
1992,94.41945205
1993,165.67479452
1994,203.34410959
1995,260.84438356
1996,184.37342466
1997,147.57945205
1998,152.32520548
1999,114.22575342
2000,157.33068493
2001,120.35835616
2002,203.88547945
2003,214.23041096
2004,199.05342466
2005,100.41068493
2006,205.93178082
2007,141.97452055
2008,179.48931507
2009,135.53589041
2010,250.14383562
2011,126.96712329
2012,164.48328767
2013,270.35945205
2014,129.84219178
2015,202.86219178
2016,154.57561644
2017,56.72602740
2018,216.14082192
2019,132.18465753
2020,204.07479452
2021,226.47698630
2022,218.25205479
2023,94.62767123
2024,103.41726027
