year,pr
1961,444.06902655
1962,366.00000000
1963,359.55477876
1964,117.18539823
1965,417.54265487
1966,402.03088496
1967,118.33283186
1968,363.28415929
1969,262.65230088
1970,357.27876106
1971,421.26300885
1972,190.98902655
1973,275.37752212
1974,305.93185841
1975,254.88061947
1976,437.26371681
1977,418.03168142
1978,157.23238938
1979,293.87823009
1980,358.52663717
1981,463.56150442
1982,238.09362832
1983,365.26079646
1984,383.90734513
1985,409.08415929
1986,579.79203540
1987,432.23336283
1988,471.82610619
1989,570.78548673
1990,404.64203540
1991,230.09575221
1992,249.05884956
1993,757.19637168
1994,457.84814159
1995,318.28796460
1996,309.31362832
1997,180.80778761
1998,466.59185841
1999,245.11407080
2000,540.43522124
2001,477.27902655
2002,752.40159292
2003,739.28920354
2004,663.74743363
2005,331.22699115
2006,392.32646018
2007,489.35504425
2008,432.97867257
2009,192.17132743
2010,302.57716814
2011,245.17336283
2012,360.63106195
2013,375.06380531
2014,541.12884956
2015,608.53123894
2016,467.50362832
2017,230.86194690
2018,161.06557522
2019,140.05088496
2020,221.33017699
2021,511.96106195
2022,530.25946903
2023,200.20380531
2024,288.42672566
