year,pr
1961,263.52621359
1962,560.73106796
1963,295.94029126
1964,305.26165049
1965,331.06359223
1966,340.51844660
1967,283.57135922
1968,558.46019417
1969,312.88203883
1970,365.05242718
1971,478.75485437
1972,608.68883495
1973,270.07378641
1974,346.19514563
1975,377.82864078
1976,266.06262136
1977,345.65533981
1978,280.16456311
1979,380.19126214
1980,297.92135922
1981,311.27961165
1982,340.38834951
1983,310.12572816
1984,359.32038835
1985,427.25097087
1986,215.48300971
1987,304.47038835
1988,428.53203883
1989,249.69854369
1990,353.01893204
1991,305.24514563
1992,255.44854369
1993,252.69077670
1994,235.18592233
1995,480.46213592
1996,407.40339806
1997,327.26213592
1998,232.61553398
1999,252.78446602
2000,319.25048544
2001,462.80388350
2002,256.62621359
2003,333.87475728
2004,261.12038835
2005,231.31504854
2006,469.00825243
2007,260.68446602
2008,304.25970874
2009,302.00436893
2010,279.94320388
2011,486.57087379
2012,363.93398058
2013,396.79368932
2014,206.51019417
2015,356.41213592
2016,233.86893204
2017,698.85776699
2018,377.83834951
2019,200.47427184
2020,224.35631068
2021,239.19174757
2022,273.85097087
2023,411.94029126
2024,277.51650485
