year,pr
1961,336.94565524
1962,318.92353217
1963,326.95279474
1964,368.10028182
1965,316.71019258
1966,260.11972757
1967,400.84922499
1968,431.78050728
1969,268.22212306
1970,238.31047440
1971,219.73471113
1972,430.09473931
1973,326.41841240
1974,400.74969469
1975,456.31526538
1976,230.98595585
1977,225.15974636
1978,429.01441992
1979,486.89333020
1980,397.60385157
1981,342.69699389
1982,284.70117426
1983,465.37134805
1984,277.75838422
1985,176.43860968
1986,345.13255049
1987,436.30681071
1988,241.81498356
1989,294.25077501
1990,349.72357915
1991,216.32433067
1992,199.11982151
1993,297.15575388
1994,353.07801785
1995,370.22653828
1996,406.57487083
1997,321.49985909
1998,319.43442931
1999,324.41240019
2000,380.35166745
2001,188.18656646
2002,242.92874589
2003,268.11352748
2004,286.65232504
2005,285.77388445
2006,337.42268671
2007,259.00535463
2008,186.13461719
2009,408.42700798
2010,389.06439643
2011,347.53503992
2012,207.54607797
2013,265.68919681
2014,440.76303429
2015,341.08511038
2016,344.99516205
2017,320.54734617
2018,351.94861437
2019,408.95720996
2020,252.72808830
2021,373.80258337
2022,214.98539220
2023,428.54321278
2024,211.44401127
