year,pr
1961,468.17393162
1962,789.27008547
1963,562.65961538
1964,555.20619658
1965,430.73397436
1966,499.55064103
1967,553.15000000
1968,710.45982906
1969,459.65213675
1970,457.64935897
1971,503.12542735
1972,749.19444444
1973,526.29059829
1974,828.01944444
1975,834.23739316
1976,518.92521368
1977,380.98055556
1978,445.99038462
1979,646.39017094
1980,573.99017094
1981,686.82713675
1982,458.85897436
1983,805.50534188
1984,595.49294872
1985,331.02200855
1986,518.08910256
1987,674.82756410
1988,616.59829060
1989,413.40170940
1990,639.24081197
1991,349.90961538
1992,314.45405983
1993,555.95940171
1994,490.42670940
1995,778.13504274
1996,682.55085470
1997,400.42329060
1998,511.18952991
1999,548.12692308
2000,605.65876068
2001,408.50170940
2002,481.56517094
2003,371.99636752
2004,479.05534188
2005,403.56217949
2006,658.89594017
2007,427.44123932
2008,395.89380342
2009,427.25811966
2010,417.32457265
2011,858.15576923
2012,335.49529915
2013,519.51645299
2014,661.18290598
2015,592.09188034
2016,663.30363248
2017,587.37307692
2018,560.01559829
2019,584.96346154
2020,420.72435897
2021,597.02393162
2022,407.21196581
2023,919.86816239
2024,302.36111111
