year,pr
1961,126.88158760
1962,79.72733678
1963,91.26063880
1964,136.63823391
1965,119.72620949
1966,74.70878347
1967,142.99647722
1968,124.77402536
1969,70.50709253
1970,118.64908408
1971,55.58365430
1972,124.21333960
1973,67.62954439
1974,88.16251761
1975,145.41986848
1976,61.32512917
1977,43.57581024
1978,104.23804603
1979,206.65349930
1980,187.91601691
1981,144.41296383
1982,65.98003758
1983,130.01160169
1984,130.26040395
1985,42.53715359
1986,149.64495068
1987,205.18689526
1988,76.87022076
1989,128.74908408
1990,76.61188351
1991,37.77350869
1992,85.37440113
1993,92.63316111
1994,145.04687647
1995,152.76430249
1996,105.16031000
1997,107.19971818
1998,150.65547205
1999,126.14344763
2000,90.41582903
2001,58.84363551
2002,103.49351808
2003,72.94213246
2004,94.43743542
2005,128.95462659
2006,64.08356036
2007,88.92649131
2008,66.80615312
2009,45.56646313
2010,87.98572100
2011,95.89478628
2012,79.97388445
2013,69.04495068
2014,88.20887741
2015,81.50699859
2016,89.39596054
2017,93.86951620
2018,99.06542978
2019,131.01432597
2020,90.05533114
2021,82.51554721
2022,35.00342884
2023,172.30944105
2024,63.36730860
