year,pr
1961,488.70884956
1962,190.65592920
1963,457.39380531
1964,513.10769912
1965,344.43672566
1966,317.77814159
1967,618.15477876
1968,461.84238938
1969,382.18424779
1970,289.57761062
1971,194.06946903
1972,668.45407080
1973,302.81274336
1974,262.22150442
1975,606.82194690
1976,360.86548673
1977,232.59884956
1978,484.36840708
1979,433.01849558
1980,426.81743363
1981,569.98601770
1982,340.60522124
1983,536.58707965
1984,460.69389381
1985,120.14557522
1986,282.41345133
1987,459.90814159
1988,370.46619469
1989,546.95566372
1990,299.94424779
1991,131.30522124
1992,396.32530973
1993,349.29433628
1994,283.99858407
1995,697.12522124
1996,349.44592920
1997,215.95601770
1998,614.61610619
1999,455.17849558
2000,184.19699115
2001,325.88548673
2002,523.48265487
2003,183.27893805
2004,365.30539823
2005,405.53345133
2006,244.99938053
2007,465.74327434
2008,293.16610619
2009,258.69283186
2010,366.39371681
2011,344.68973451
2012,257.85699115
2013,204.30902655
2014,196.56044248
2015,287.03637168
2016,409.25920354
2017,182.81150442
2018,368.19752212
2019,595.91637168
2020,278.57256637
2021,403.98530973
2022,96.42884956
2023,605.74221239
2024,281.16495575
