year,pr
1961,115.33550963
1962,146.83137623
1963,134.25730390
1964,164.27059652
1965,88.17256928
1966,69.46787224
1967,79.09145139
1968,140.14180366
1969,77.66984500
1970,61.55575388
1971,112.76477219
1972,176.80220761
1973,133.98501644
1974,87.58797558
1975,144.19563175
1976,101.37317990
1977,85.11559418
1978,132.09938938
1979,196.54401127
1980,82.82127760
1981,78.24448098
1982,138.17083138
1983,181.04434007
1984,81.06519493
1985,64.47097229
1986,100.20267731
1987,135.75758572
1988,123.44330672
1989,94.09943636
1990,157.93489901
1991,40.92536402
1992,76.80746829
1993,124.23085956
1994,143.91540629
1995,96.55420385
1996,100.92259277
1997,83.91484265
1998,82.09478628
1999,99.18914984
2000,139.87308596
2001,96.07317990
2002,54.48999530
2003,128.01709723
2004,149.93889150
2005,110.23104744
2006,109.42808830
2007,109.22085486
2008,36.36848286
2009,180.50159699
2010,180.46467825
2011,155.30906529
2012,60.20765618
2013,100.26496008
2014,145.02047910
2015,110.51860028
2016,197.87374354
2017,69.17778300
2018,91.68722405
2019,161.30460310
2020,77.22790042
2021,215.22085486
2022,111.68388915
2023,143.33710662
2024,40.19924847
