year,pr
1961,49.32753346
1962,74.77520714
1963,109.70114723
1964,100.74933078
1965,91.31561504
1966,30.92581262
1967,80.02096877
1968,108.37578075
1969,77.73046526
1970,35.00994264
1971,105.24894837
1972,123.41536010
1973,104.78438496
1974,52.61994901
1975,103.67157425
1976,109.26755895
1977,100.75353728
1978,111.07603569
1979,114.58623327
1980,89.70356915
1981,48.70363289
1982,149.20420650
1983,125.93747610
1984,81.17641810
1985,57.55379222
1986,102.15168897
1987,108.04926705
1988,71.75640535
1989,52.59471001
1990,126.31261950
1991,49.41446781
1992,53.45124283
1993,109.27425112
1994,101.41204589
1995,97.74671765
1996,80.91931166
1997,64.51835564
1998,70.61669853
1999,83.05831740
2000,131.13855959
2001,78.90943276
2002,76.36883365
2003,87.49764181
2004,112.81841938
2005,84.66335245
2006,73.26169535
2007,96.65844487
2008,68.87227533
2009,163.32950924
2010,124.93307839
2011,105.83371574
2012,66.27463352
2013,100.78119822
2014,152.98189930
2015,105.44142766
2016,178.34601657
2017,57.04907584
2018,73.93269598
2019,137.22230720
2020,47.40433397
2021,104.13250478
2022,69.31912046
2023,145.79949012
2024,36.66035692
