year,pr
1961,177.95972603
1962,128.10958904
1963,112.19561644
1964,114.13260274
1965,107.62136986
1966,234.73178082
1967,109.58027397
1968,170.94712329
1969,177.21369863
1970,202.45698630
1971,178.95863014
1972,192.86246575
1973,203.15945205
1974,181.36630137
1975,190.50958904
1976,99.69561644
1977,220.65260274
1978,142.95452055
1979,254.87095890
1980,75.42328767
1981,260.73753425
1982,125.57808219
1983,229.42356164
1984,147.77342466
1985,178.27534247
1986,103.66630137
1987,102.65616438
1988,152.03205479
1989,222.72493151
1990,108.10602740
1991,48.28958904
1992,140.76191781
1993,138.67342466
1994,153.17671233
1995,123.17369863
1996,187.42657534
1997,49.58219178
1998,104.60000000
1999,214.75945205
2000,128.13315068
2001,136.84520548
2002,79.08219178
2003,100.89643836
2004,112.76219178
2005,194.52986301
2006,165.23972603
2007,53.63260274
2008,114.26136986
2009,218.61863014
2010,212.93534247
2011,126.84684932
2012,131.81534247
2013,139.10383562
2014,112.72849315
2015,163.05342466
2016,253.05232877
2017,132.94739726
2018,133.40849315
2019,101.00082192
2020,152.13479452
2021,130.91342466
2022,143.26438356
2023,158.80027397
2024,96.00767123
