year,pr
1961,59.75291262
1962,115.32330097
1963,129.99174757
1964,50.51699029
1965,98.22281553
1966,124.50194175
1967,247.09514563
1968,84.01359223
1969,73.28640777
1970,116.46553398
1971,113.76504854
1972,68.29708738
1973,94.55679612
1974,24.78737864
1975,100.72378641
1976,161.90048544
1977,75.88883495
1978,96.55970874
1979,129.11796117
1980,135.31601942
1981,135.70000000
1982,29.66796117
1983,37.14757282
1984,102.60242718
1985,129.74077670
1986,56.78058252
1987,105.93543689
1988,88.72087379
1989,140.79708738
1990,143.79854369
1991,102.19757282
1992,86.72815534
1993,84.15728155
1994,37.99514563
1995,113.74854369
1996,74.42378641
1997,71.47669903
1998,96.71601942
1999,200.86553398
2000,115.04077670
2001,118.01553398
2002,72.32815534
2003,86.20242718
2004,52.48737864
2005,65.97281553
2006,92.69902913
2007,68.63446602
2008,67.92281553
2009,26.03009709
2010,32.72864078
2011,47.91941748
2012,38.50242718
2013,78.02233010
2014,77.62864078
2015,93.04174757
2016,105.15194175
2017,46.47233010
2018,88.67427184
2019,50.63446602
2020,125.51359223
2021,58.06650485
2022,206.77864078
2023,65.50242718
2024,64.03592233
