year,pr
1961,123.08604979
1962,107.24142790
1963,119.12508220
1964,116.97449507
1965,173.82137154
1966,137.70155002
1967,299.10934711
1968,124.03306717
1969,44.13931423
1970,83.52442461
1971,87.08980742
1972,104.50662283
1973,164.39506811
1974,70.16270550
1975,108.55162048
1976,65.02137154
1977,87.24128699
1978,95.64537341
1979,86.70117426
1980,158.23832785
1981,76.08088304
1982,171.55955848
1983,87.69112259
1984,152.97825270
1985,126.66660404
1986,88.77886332
1987,91.65472053
1988,91.44927196
1989,81.90732738
1990,106.33560357
1991,94.95373415
1992,75.17966181
1993,97.80897135
1994,248.36627525
1995,97.13048380
1996,128.93550963
1997,136.14109911
1998,35.28572100
1999,186.51211837
2000,82.03278535
2001,156.30850164
2002,121.93616721
2003,98.97510568
2004,93.25974636
2005,70.17087835
2006,220.05998121
2007,34.97036167
2008,124.30159699
2009,53.41963363
2010,50.67003288
2011,147.68252701
2012,72.44711132
2013,63.71892907
2014,155.85439173
2015,79.41629873
2016,157.76453734
2017,50.58661343
2018,210.45481447
2019,151.77031470
2020,117.62334429
2021,121.74025364
2022,181.74476280
2023,80.03320808
2024,91.07322687
