year,pr
1961,156.98096771
1962,142.38773823
1963,156.43923940
1964,148.31059960
1965,209.67513706
1966,181.55126621
1967,289.36087373
1968,159.72317466
1969,73.46933252
1970,111.18154208
1971,143.34733270
1972,128.14293795
1973,203.53507093
1974,81.59577931
1975,128.64189366
1976,110.77521539
1977,116.44225916
1978,144.72492385
1979,122.38067183
1980,185.61329736
1981,128.47131668
1982,184.17114263
1983,116.91732660
1984,150.98951353
1985,149.13618484
1986,109.00324602
1987,137.94122357
1988,147.86768776
1989,135.72961448
1990,149.82197372
1991,118.87947959
1992,107.16657384
1993,123.66109129
1994,283.05036985
1995,137.24159777
1996,169.04459142
1997,204.00050474
1998,75.42662083
1999,258.62949265
2000,104.76076060
2001,194.34469585
2002,133.99817248
2003,154.20234096
2004,133.29222870
2005,95.12313985
2006,242.26155252
2007,57.43930902
2008,163.90177530
2009,95.30254982
2010,54.70639631
2011,152.66849708
2012,82.48364807
2013,102.40666609
2014,187.60232356
2015,129.37083805
2016,194.51865808
2017,75.55004786
2018,177.73004090
2019,176.28292577
2020,158.47865286
2021,135.14096249
2022,211.46833174
2023,109.29244626
2024,126.45940301
