year,pr
1961,249.81666667
1962,203.27670940
1963,253.46388889
1964,239.48632479
1965,329.54188034
1966,260.59444444
1967,475.83846154
1968,257.61559829
1969,83.15042735
1970,78.84337607
1971,154.55534188
1972,194.52243590
1973,319.90427350
1974,131.05405983
1975,161.98055556
1976,205.77179487
1977,179.57777778
1978,139.55277778
1979,202.55619658
1980,219.21196581
1981,294.02008547
1982,184.90747863
1983,165.30470085
1984,191.69038462
1985,217.40705128
1986,176.00555556
1987,235.68226496
1988,274.26645299
1989,154.79230769
1990,297.13611111
1991,118.17863248
1992,140.68226496
1993,179.15235043
1994,502.96538462
1995,177.28653846
1996,329.25982906
1997,258.94444444
1998,93.62264957
1999,268.76303419
2000,84.07735043
2001,271.20064103
2002,148.08269231
2003,154.05470085
2004,151.07072650
2005,52.99166667
2006,387.75662393
2007,36.77435897
2008,303.35064103
2009,108.71025641
2010,26.57735043
2011,242.20918803
2012,59.34594017
2013,98.04252137
2014,187.91538462
2015,135.02564103
2016,282.23888889
2017,91.22115385
2018,141.48141026
2019,218.16559829
2020,247.74401709
2021,165.46431624
2022,230.41410256
2023,121.99893162
2024,183.00961538
