year,pr
1961,98.46301370
1962,105.99917808
1963,164.33205479
1964,86.01780822
1965,204.31863014
1966,122.76273973
1967,170.49753425
1968,83.48273973
1969,64.03150685
1970,47.15068493
1971,110.26273973
1972,55.93808219
1973,140.68739726
1974,39.70191781
1975,133.37616438
1976,95.26383562
1977,128.53890411
1978,119.22739726
1979,125.18849315
1980,178.61808219
1981,99.73479452
1982,105.42356164
1983,136.19479452
1984,77.78356164
1985,170.97863014
1986,86.29452055
1987,130.72410959
1988,114.35041096
1989,119.63561644
1990,165.57506849
1991,133.92657534
1992,92.45123288
1993,150.90054795
1994,246.26767123
1995,132.39041096
1996,143.93479452
1997,86.07890411
1998,94.69095890
1999,228.32465753
2000,83.88520548
2001,196.14904110
2002,129.10986301
2003,134.06739726
2004,110.80000000
2005,43.65753425
2006,212.12931507
2007,61.59534247
2008,76.28246575
2009,125.41232877
2010,40.11643836
2011,138.07232877
2012,59.22849315
2013,129.82383562
2014,102.38082192
2015,81.03342466
2016,272.68684932
2017,26.79178082
2018,201.64493151
2019,79.04739726
2020,254.85068493
2021,87.82958904
2022,166.89342466
2023,109.52739726
2024,84.55726027
