year,pr
1961,553.46707965
1962,364.58424779
1963,460.16504425
1964,446.08707965
1965,627.93637168
1966,499.43973451
1967,885.11477876
1968,545.67123894
1969,137.86610619
1970,365.45663717
1971,315.94398230
1972,452.81345133
1973,692.87557522
1974,328.46389381
1975,364.95150442
1976,240.46840708
1977,354.76398230
1978,402.50566372
1979,353.28840708
1980,482.42141593
1981,339.65566372
1982,629.48433628
1983,382.80123894
1984,499.58336283
1985,369.27292035
1986,261.91592920
1987,329.44946903
1988,402.36716814
1989,415.98141593
1990,394.30407080
1991,231.25566372
1992,260.13292035
1993,252.08610619
1994,1056.67159292
1995,347.13079646
1996,558.17911504
1997,739.55725664
1998,107.56982301
1999,587.54964602
2000,177.29283186
2001,567.83194690
2002,354.86345133
2003,432.30955752
2004,407.47380531
2005,240.03318584
2006,755.72451327
2007,103.56495575
2008,708.50008850
2009,296.73592920
2010,120.73469027
2011,487.45654867
2012,183.97654867
2013,212.29371681
2014,698.34353982
2015,382.39699115
2016,555.30415929
2017,221.58362832
2018,448.17725664
2019,641.59911504
2020,347.30469027
2021,413.14026549
2022,538.76823009
2023,231.71584071
2024,528.78840708
