year,pr
1961,47.96721465
1962,152.68309065
1963,49.84584312
1964,75.72775951
1965,104.49398779
1966,61.67538751
1967,94.62118365
1968,235.10239549
1969,87.22541099
1970,98.42212306
1971,222.76232973
1972,184.30079850
1973,99.54866134
1974,146.92080789
1975,135.26820103
1976,106.48233913
1977,89.71916393
1978,112.83612024
1979,182.13414749
1980,101.62357915
1981,149.02226397
1982,130.25730390
1983,151.42738375
1984,136.36364490
1985,57.74476280
1986,123.65068107
1987,150.50671677
1988,244.13179897
1989,133.58558008
1990,128.71409112
1991,83.74837952
1992,132.74105214
1993,114.65077501
1994,61.92832316
1995,135.26364490
1996,183.83532175
1997,83.18802255
1998,241.25763269
1999,162.61066228
2000,151.28083607
2001,122.51705026
2002,93.73922029
2003,88.45580085
2004,92.08191639
2005,87.33348990
2006,166.21418506
2007,207.20230155
2008,94.84349460
2009,113.10032879
2010,65.77402536
2011,150.55425082
2012,181.72043213
2013,210.92653828
2014,102.11080319
2015,97.54734617
2016,124.66007515
2017,88.95378112
2018,92.38821043
2019,133.27294504
2020,140.68802255
2021,103.25068107
2022,80.91169563
2023,125.50953499
2024,191.20831376
