year,pr
1961,96.89532678
1962,227.71457663
1963,75.50238447
1964,140.52675137
1965,135.39351667
1966,79.30104430
1967,119.13692455
1968,274.59307284
1969,114.17618136
1970,162.83099817
1971,255.37875729
1972,187.60275868
1973,129.81256636
1974,179.42864851
1975,177.75789748
1976,143.27712123
1977,155.78708555
1978,153.81714385
1979,207.51312331
1980,134.33768166
1981,166.40042642
1982,146.65551301
1983,202.53441824
1984,162.79699765
1985,82.12918806
1986,146.79465669
1987,190.31780524
1988,320.29067096
1989,195.70211470
1990,164.26618223
1991,140.15366809
1992,177.87337917
1993,155.44286833
1994,116.34707162
1995,180.21181794
1996,225.84733270
1997,143.60447307
1998,310.38330868
1999,169.46951527
2000,200.44628840
2001,170.63530589
2002,129.82913585
2003,144.75082238
2004,139.48357845
2005,144.50582195
2006,182.01962405
2007,242.61294926
2008,155.94510486
2009,158.16160473
2010,101.21899748
2011,178.43121573
2012,201.77370116
2013,240.10027848
2014,151.93151162
2015,142.82216517
2016,164.22479332
2017,103.45458185
2018,103.23393090
2019,168.06341485
2020,173.57601601
2021,147.42387086
2022,125.16717431
2023,133.61293186
2024,200.23176399
