year,pr
1961,23.17534247
1962,155.02301370
1963,26.80958904
1964,129.48273973
1965,89.20821918
1966,74.47671233
1967,78.52328767
1968,213.67123288
1969,97.96191781
1970,117.52000000
1971,268.54082192
1972,112.92876712
1973,95.94931507
1974,240.42273973
1975,119.20712329
1976,145.28356164
1977,88.53863014
1978,86.26438356
1979,245.12575342
1980,121.12547945
1981,163.53041096
1982,114.77616438
1983,123.38273973
1984,93.44191781
1985,110.53232877
1986,139.94986301
1987,130.10109589
1988,109.61561644
1989,195.57863014
1990,115.97534247
1991,119.14602740
1992,237.99972603
1993,84.60465753
1994,106.75178082
1995,171.67342466
1996,126.70356164
1997,189.59616438
1998,342.55205479
1999,124.45178082
2000,191.88438356
2001,214.72958904
2002,87.01753425
2003,197.70547945
2004,130.16383562
2005,156.94794521
2006,278.18410959
2007,207.30164384
2008,167.43041096
2009,217.24575342
2010,104.10383562
2011,179.21972603
2012,122.71068493
2013,210.87534247
2014,89.37205479
2015,87.33178082
2016,134.76904110
2017,95.25561644
2018,107.95643836
2019,162.70657534
2020,82.27342466
2021,99.94684932
2022,93.25863014
2023,98.26931507
2024,147.40575342
