year,pr
1961,316.19203540
1962,672.18008850
1963,233.19699115
1964,370.18309735
1965,373.82831858
1966,196.63504425
1967,351.25539823
1968,891.97796460
1969,315.48831858
1970,512.68061947
1971,744.98681416
1972,608.64716814
1973,424.49035398
1974,445.87840708
1975,451.73752212
1976,337.34415929
1977,473.82265487
1978,408.02610619
1979,508.97663717
1980,397.53061947
1981,489.53876106
1982,318.34575221
1983,518.57575221
1984,650.08283186
1985,160.99734513
1986,390.74070796
1987,640.06522124
1988,1213.09929204
1989,424.53769912
1990,436.26300885
1991,392.35761062
1992,437.69495575
1993,578.22000000
1994,250.16265487
1995,453.76256637
1996,805.94955752
1997,364.59769912
1998,1010.33106195
1999,673.41876106
2000,691.79814159
2001,405.96884956
2002,412.47398230
2003,334.20203540
2004,331.63955752
2005,234.94115044
2006,524.36831858
2007,750.73318584
2008,411.67973451
2009,296.95911504
2010,256.37238938
2011,407.99309735
2012,680.08858407
2013,828.25707965
2014,419.28486726
2015,508.17902655
2016,405.37840708
2017,233.34194690
2018,216.24070796
2019,452.58628319
2020,687.70371681
2021,426.28176991
2022,349.02380531
2023,412.21938053
2024,537.51592920
