year,pr
1961,280.97572816
1962,457.08932039
1963,248.99805825
1964,340.65097087
1965,217.03737864
1966,301.60145631
1967,399.02912621
1968,305.98495146
1969,256.73640777
1970,434.79126214
1971,463.21699029
1972,265.68349515
1973,347.08058252
1974,253.84126214
1975,406.69126214
1976,482.39854369
1977,288.95679612
1978,271.82815534
1979,434.33398058
1980,285.08592233
1981,334.19805825
1982,271.10242718
1983,356.01116505
1984,247.18689320
1985,302.38203883
1986,269.44223301
1987,349.67281553
1988,304.84126214
1989,467.24854369
1990,349.10194175
1991,327.92912621
1992,342.48106796
1993,239.59708738
1994,397.44174757
1995,348.01310680
1996,300.37718447
1997,428.76553398
1998,292.31359223
1999,361.16165049
2000,245.79951456
2001,350.27912621
2002,261.56067961
2003,380.39563107
2004,239.24077670
2005,346.80000000
2006,320.12572816
2007,272.84660194
2008,229.66165049
2009,247.73155340
2010,216.65679612
2011,254.36019417
2012,222.69563107
2013,289.84902913
2014,352.16747573
2015,254.88543689
2016,384.04271845
2017,271.90728155
2018,232.12524272
2019,303.91553398
2020,216.36504854
2021,381.06262136
2022,471.59417476
2023,314.63737864
2024,240.45679612
