year,pr
1961,279.64903711
1962,341.26993894
1963,281.37689056
1964,295.01052137
1965,368.91935181
1966,255.83842179
1967,442.63893847
1968,481.67698450
1969,300.69985909
1970,445.39079380
1971,428.60948802
1972,431.39037107
1973,321.09896665
1974,340.51033349
1975,333.93170503
1976,254.70671677
1977,297.58717708
1978,359.93954908
1979,390.00648192
1980,418.10324096
1981,335.97764209
1982,377.75922969
1983,444.95631752
1984,363.09586660
1985,292.35777360
1986,302.73452325
1987,337.38182245
1988,461.90737435
1989,279.61413809
1990,292.79675904
1991,302.67472992
1992,287.67703147
1993,322.72221700
1994,443.96434946
1995,466.84062940
1996,409.41827149
1997,273.69506811
1998,368.97482386
1999,411.64574918
2000,388.52273368
2001,317.79868483
2002,372.31620479
2003,399.91850634
2004,305.18708314
2005,267.45007046
2006,458.87116017
2007,352.64607797
2008,364.23240958
2009,237.24927196
2010,290.09055895
2011,345.30540160
2012,379.84100517
2013,406.64969469
2014,323.30807891
2015,247.57228746
2016,357.57557539
2017,271.37294504
2018,360.28792860
2019,372.32400188
2020,410.04062940
2021,348.06937529
2022,337.86956318
2023,350.49065289
2024,415.47952090
