year,pr
1961,130.29466019
1962,124.28737864
1963,95.73106796
1964,150.15436893
1965,42.24368932
1966,134.26650485
1967,128.25825243
1968,98.11601942
1969,145.01893204
1970,157.10485437
1971,180.84368932
1972,81.09174757
1973,185.47330097
1974,146.26990291
1975,152.11165049
1976,212.61456311
1977,114.31893204
1978,118.94708738
1979,126.83398058
1980,95.86456311
1981,122.69223301
1982,110.34951456
1983,110.72815534
1984,115.82815534
1985,104.34854369
1986,98.13737864
1987,139.35145631
1988,131.22864078
1989,156.68398058
1990,87.77912621
1991,146.77378641
1992,123.27038835
1993,110.78155340
1994,204.10291262
1995,95.11941748
1996,149.59029126
1997,267.30048544
1998,90.05728155
1999,79.67475728
2000,71.20631068
2001,111.49951456
2002,104.23980583
2003,167.76699029
2004,85.40048544
2005,93.00873786
2006,74.54271845
2007,83.17815534
2008,56.20631068
2009,103.42766990
2010,149.85000000
2011,87.12475728
2012,112.31165049
2013,178.21504854
2014,164.13592233
2015,112.02038835
2016,172.22038835
2017,145.80048544
2018,68.95242718
2019,152.38932039
2020,47.30242718
2021,160.16213592
2022,137.87087379
2023,167.01116505
2024,69.27815534
