year,pr
1961,81.14161887
1962,64.43142129
1963,87.23696622
1964,79.57960484
1965,76.12141491
1966,45.26959847
1967,63.66927980
1968,100.53843212
1969,148.57157425
1970,187.00427024
1971,123.32517527
1972,183.15219885
1973,50.36539197
1974,29.48954748
1975,57.56743149
1976,23.52715105
1977,87.98170809
1978,82.22861695
1979,112.23868706
1980,125.48362014
1981,106.47068196
1982,42.81771829
1983,145.88852772
1984,84.31536010
1985,64.12428298
1986,43.09375398
1987,102.16749522
1988,92.16456342
1989,28.85239006
1990,32.53811345
1991,79.29126832
1992,47.82045889
1993,65.39298917
1994,82.47221160
1995,180.07520714
1996,61.81701721
1997,30.69254302
1998,99.39764181
1999,65.52581262
2000,111.13078394
2001,41.24314850
2002,141.99725940
2003,122.35818993
2004,84.97240280
2005,81.50860421
2006,80.35047801
2007,91.08833652
2008,129.59356278
2009,49.96188655
2010,120.64544296
2011,48.64971319
2012,131.36418101
2013,85.17909496
2014,47.60465264
2015,42.99834289
2016,41.81032505
2017,88.44066284
2018,77.21032505
2019,53.05889101
2020,123.98769917
2021,124.27055449
2022,50.68725303
2023,139.97839388
2024,158.46042065
