year,pr
1961,253.42649573
1962,201.44423077
1963,251.66773504
1964,263.36538462
1965,158.69252137
1966,171.23119658
1967,86.47029915
1968,244.12735043
1969,457.54764957
1970,446.63333333
1971,178.35769231
1972,216.32628205
1973,132.85876068
1974,206.27841880
1975,127.38205128
1976,148.22307692
1977,142.75876068
1978,188.41282051
1979,196.88397436
1980,364.53012821
1981,275.77478632
1982,283.46901709
1983,357.00512821
1984,155.38675214
1985,278.89551282
1986,178.32905983
1987,231.75000000
1988,244.13226496
1989,117.49786325
1990,154.67820513
1991,267.71132479
1992,118.89551282
1993,187.23162393
1994,276.69380342
1995,375.17884615
1996,279.29358974
1997,152.38290598
1998,204.24743590
1999,185.47927350
2000,249.90705128
2001,71.16047009
2002,330.85170940
2003,312.68162393
2004,287.01175214
2005,91.75427350
2006,96.79038462
2007,155.94252137
2008,204.95598291
2009,140.64893162
2010,448.28247863
2011,96.18418803
2012,272.38589744
2013,278.98269231
2014,163.23376068
2015,109.90384615
2016,170.60940171
2017,258.16452991
2018,91.93397436
2019,220.44893162
2020,259.34594017
2021,264.74615385
2022,173.73482906
2023,181.21730769
2024,185.30106838
