year,pr
1961,270.11506849
1962,95.51863014
1963,147.04301370
1964,186.48301370
1965,80.76328767
1966,100.26904110
1967,102.48273973
1968,112.57068493
1969,79.63178082
1970,239.23260274
1971,133.22356164
1972,115.32383562
1973,118.06027397
1974,248.85397260
1975,89.82712329
1976,179.10602740
1977,289.53945205
1978,132.91041096
1979,167.06547945
1980,106.51397260
1981,108.37643836
1982,114.10383562
1983,218.06136986
1984,117.03369863
1985,83.38438356
1986,151.70821918
1987,62.43616438
1988,239.95205479
1989,97.49369863
1990,96.27616438
1991,115.43589041
1992,229.17589041
1993,149.11479452
1994,155.33123288
1995,145.03479452
1996,134.64904110
1997,115.70602740
1998,110.59342466
1999,82.48438356
2000,168.11068493
2001,24.65178082
2002,123.41589041
2003,266.16082192
2004,182.14904110
2005,80.69698630
2006,55.54328767
2007,100.38191781
2008,108.61369863
2009,92.95643836
2010,258.79178082
2011,75.99780822
2012,123.66465753
2013,180.94712329
2014,137.85342466
2015,180.07479452
2016,173.21589041
2017,174.37506849
2018,137.19397260
2019,92.32000000
2020,215.50000000
2021,156.96904110
2022,195.40876712
2023,128.21753425
2024,156.51123288
