year,tas
1972,8.32428564
1973,8.76105335
1974,8.44584207
1975,8.48890787
1976,7.58941517
1977,7.73056372
1978,8.92110868
1979,8.39677581
1980,8.27644226
1981,8.78026443
1982,8.18018245
1983,7.96801379
1984,8.61387154
1985,8.67968644
1986,8.56057228
1987,8.86126404
1988,9.08751496
1989,8.96142418
1990,9.06952621
1991,8.19517929
1992,7.52783364
1993,7.98690583
1994,8.33870083
1995,8.45086002
1996,8.24900519
1997,8.27238286
1998,9.32128131
1999,9.21309043
2000,8.64466243
2001,8.79595592
2002,8.51910047
2003,8.57359302
2004,8.16418319
2005,9.16982498
2006,8.16466102
2007,8.77529819
2008,8.81147661
2009,8.26146136
2010,9.25418857
2011,8.77803587
2012,8.29367867
2013,9.25153384
2014,8.72050388
2015,8.71632578
2016,9.26761574
2017,8.94084757
2018,8.99509634
2019,9.24632470
2020,9.14182906
2021,9.25618836
2022,9.16118014
2023,9.20129085
2024,8.89391607
