year,tas
1972,9.93218385
1973,10.41523865
1974,10.45504194
1975,10.25398165
1976,9.45831177
1977,9.40330869
1978,10.44567387
1979,10.17486677
1980,9.87503864
1981,10.47913179
1982,9.63631475
1983,9.63633764
1984,10.29950996
1985,10.33972708
1986,10.29093733
1987,10.30008176
1988,10.56016603
1989,10.57555145
1990,10.62031849
1991,9.78566490
1992,9.20314839
1993,9.51820595
1994,9.91098133
1995,10.20631944
1996,9.98268148
1997,9.89263175
1998,11.02595734
1999,10.93277937
2000,10.40415402
2001,10.53808547
2002,10.25439796
2003,10.25769742
2004,9.74549471
2005,10.77653178
2006,9.98005360
2007,10.47902829
2008,10.39858870
2009,9.86082432
2010,10.74163265
2011,10.50831554
2012,10.06060855
2013,10.92657200
2014,10.38056158
2015,10.35522568
2016,11.01505470
2017,10.71520760
2018,10.88607565
2019,10.87633519
2020,10.75160050
2021,10.96642310
2022,11.20381489
2023,10.97694517
2024,10.62810175
