year,tas
1972,8.39885245
1973,8.65079763
1974,9.17310686
1975,8.68069362
1976,8.09714204
1977,7.91870900
1978,9.04836803
1979,8.48299681
1980,8.24410900
1981,8.87958667
1982,7.97677861
1983,7.92223815
1984,8.88743150
1985,8.96214070
1986,8.84804200
1987,8.78635294
1988,8.66857278
1989,9.30129151
1990,8.97788770
1991,8.14417546
1992,7.68812143
1993,7.92276257
1994,8.14876210
1995,8.74398228
1996,8.64627706
1997,8.37902571
1998,9.29878725
1999,9.89024483
2000,9.13741684
2001,9.03005948
2002,8.85845305
2003,8.74360243
2004,8.22033892
2005,9.29244859
2006,8.41064229
2007,8.89457363
2008,8.80506705
2009,8.28657132
2010,9.30499704
2011,9.05865992
2012,8.66181640
2013,9.34673263
2014,8.80074698
2015,8.78325612
2016,9.29112465
2017,9.20625997
2018,9.47588953
2019,9.10357834
2020,9.18094737
2021,9.40402948
2022,9.91172869
2023,9.52953488
2024,8.89096950
