year,tas
1972,9.63832081
1973,9.27047832
1974,9.05106779
1975,9.87065132
1976,9.01591592
1977,8.91689369
1978,11.57210975
1979,8.73694223
1980,8.99030139
1981,10.29625489
1982,7.34409582
1983,8.52815563
1984,9.30079693
1985,9.84848286
1986,10.62642633
1987,9.45281118
1988,8.08259042
1989,9.68961015
1990,9.71663066
1991,8.38197824
1992,7.53721152
1993,7.76064741
1994,9.83679349
1995,9.72903632
1996,9.12661343
1997,8.34657194
1998,9.26969156
1999,8.88354705
2000,9.28148583
2001,9.71713950
2002,9.17907938
2003,8.00295679
2004,7.92848834
2005,8.59503914
2006,10.31782762
2007,9.01813293
2008,9.17550885
2009,9.19179114
2010,10.72039299
2011,8.63415923
2012,9.52331924
2013,9.45523720
2014,9.34830828
2015,9.74494755
2016,9.98697745
2017,9.53006732
2018,8.32548928
2019,8.41518318
2020,9.41096837
2021,9.99291999
2022,9.92960310
2023,9.68061453
2024,9.57589713
