year,tas
1972,10.12086182
1973,9.76077635
1974,10.58008547
1975,10.05538105
1976,9.88706197
1977,9.83091524
1978,12.49308405
1979,9.01971510
1980,9.49662393
1981,10.93864316
1982,8.65031695
1983,9.17030271
1984,9.76635328
1985,10.20690171
1986,10.34219373
1987,9.30174858
1988,8.07103276
1989,9.74102564
1990,10.42656695
1991,8.78566952
1992,7.77724359
1993,8.64621083
1994,9.72768162
1995,11.13652422
1996,10.83248932
1997,8.77324430
1998,9.66433048
1999,10.12009972
2000,10.34112536
2001,9.81653490
2002,10.10072650
2003,9.93863248
2004,9.63136752
2005,9.18976852
2006,11.23239672
2007,9.59148148
2008,10.40706197
2009,9.95936966
2010,10.45360399
2011,9.92210114
2012,10.40611467
2013,10.44348647
2014,10.97805199
2015,10.30588675
2016,10.58105057
2017,10.39447293
2018,9.49366097
2019,9.76461538
2020,9.41056268
2021,9.91396724
2022,11.01928419
2023,10.63196581
2024,10.31466880
