year,tas
1972,12.77910959
1973,12.58381279
1974,13.04711872
1975,13.45171233
1976,12.06259817
1977,12.39570320
1978,14.53175799
1979,12.65349772
1980,12.00638356
1981,14.09284932
1982,10.96113242
1983,12.64967123
1984,12.66531507
1985,12.25286758
1986,13.47599087
1987,12.33900913
1988,10.94161187
1989,13.15867580
1990,12.92311872
1991,12.07004566
1992,9.85676256
1993,11.16974429
1994,12.84377169
1995,13.86942009
1996,13.96669406
1997,11.55038813
1998,13.77069406
1999,13.00688128
2000,13.26053425
2001,12.54444749
2002,11.92411416
2003,12.16997260
2004,11.06157534
2005,11.51631050
2006,14.01653425
2007,12.06136073
2008,12.93817808
2009,12.26443836
2010,13.52323744
2011,11.90042009
2012,12.77649772
2013,13.98377626
2014,13.95289954
2015,13.25165753
2016,13.31870776
2017,13.23100913
2018,12.80586758
2019,12.27330137
2020,12.98341553
2021,13.27796347
2022,13.49374886
2023,13.61544292
2024,12.98824658
