year,tas
1972,9.71973156
1973,9.21375664
1974,10.52181711
1975,9.38534661
1976,9.72010472
1977,9.07138053
1978,12.56933628
1979,8.98204277
1980,9.43619469
1981,10.41790560
1982,8.58089676
1983,8.73262094
1984,9.27801180
1985,10.05649558
1986,10.05913127
1987,9.00012389
1988,8.24165192
1989,9.57743215
1990,9.83054867
1991,8.25472714
1992,7.46291593
1993,8.42723599
1994,9.42529794
1995,10.69783776
1996,9.84485841
1997,8.56941150
1998,8.98647493
1999,9.83404277
2000,9.82370649
2001,9.56482596
2002,9.91451622
2003,9.55090708
2004,8.64567994
2005,8.81962242
2006,10.66201770
2007,9.29033333
2008,9.74085988
2009,9.83548083
2010,10.33086431
2011,9.46982743
2012,10.28753245
2013,9.84454130
2014,10.80694838
2015,10.44417404
2016,10.02485398
2017,10.34804720
2018,8.64217257
2019,9.62584366
2020,8.96056932
2021,9.55882891
2022,11.01281711
2023,10.24728466
2024,9.78524336
