year,tas
1972,9.69823050
1973,11.50093173
1974,11.01170529
1975,11.37466333
1976,11.78124021
1977,10.58861572
1978,10.77322267
1979,10.83111494
1980,10.08059818
1981,10.30212966
1982,10.49224867
1983,10.85753993
1984,12.06031162
1985,10.52889132
1986,10.40404009
1987,11.39609302
1988,11.82870341
1989,11.19285155
1990,11.34062011
1991,11.76051519
1992,10.51515816
1993,10.42200908
1994,10.83699499
1995,10.60797839
1996,11.21240213
1997,10.75171469
1998,12.05219230
1999,11.10486220
2000,11.41555747
2001,11.74143439
2002,11.35642029
2003,11.42959599
2004,10.02796743
2005,11.43267303
2006,10.77521923
2007,11.74072189
2008,11.23519417
2009,12.49241309
2010,11.92695741
2011,10.32421704
2012,11.81969151
2013,12.46071876
2014,11.24729095
2015,11.03124804
2016,10.90280301
2017,12.28529596
2018,11.52873473
2019,11.59609302
2020,12.08113843
2021,11.80220013
2022,12.39310993
2023,10.24467585
2024,11.85541027
