year,tas
1972,4.63120057
1973,5.76913728
1974,5.19075405
1975,6.42859545
1976,6.15785145
1977,5.92127373
1978,6.34108363
1979,5.38473855
1980,5.91240957
1981,4.87546495
1982,6.27522339
1983,6.26248368
1984,6.86978266
1985,5.76700826
1986,5.20139492
1987,7.36303460
1988,6.48416671
1989,6.42343728
1990,6.35634648
1991,6.91918711
1992,5.16442096
1993,5.36939582
1994,6.42715000
1995,5.59835537
1996,5.40617734
1997,5.91942867
1998,6.02152007
1999,6.04868733
2000,6.07058301
2001,6.79443309
2002,6.64696088
2003,6.24547626
2004,4.85029771
2005,7.12739788
2006,6.07239986
2007,6.63309196
2008,5.67711393
2009,7.63916698
2010,6.98991806
2011,5.74117949
2012,7.17217430
2013,7.73268813
2014,6.12195800
2015,5.91895074
2016,5.84695835
2017,7.36335575
2018,6.85046306
2019,6.28210774
2020,7.36318606
2021,6.75836222
2022,7.46407441
2023,5.63131483
2024,6.87012669
